Address,Zip Code,Value,SQFT,Price Per SQFT,Number of Bedrooms,Number of Bathrooms,Number of Full Bathrooms,Year Built,Heating,Cooling,Parking,Type,Has Garage,Number of Stories,HOA Fee
4800 S Lake Park Ave APT 607,60615,35000,1175,30,2,1,1,1970,Forced air: Gas,Central,None,Condo,No,9,1177
232 N La Crosse Ave,60644,239900,2300,104,5,3,3,1885,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
12043 S Wallace St,60628,7000,1970,4,7,3,3,1898,Gas,null,None,Multiple Occupancy,No,3,null
1511 S Kolin Ave #2,60623,55900,null,NaN,3,2,2,2006,Gas,Central,Covered,Condo,null,1,null
4938 S Drexel Blvd APT 114R,60615,209000,1218,172,2,2,1,1891,Forced air: Gas,Central,Garage: Covered,Condo,null,2,377
2636 N Orchard St APT 2R,60614,349000,1100,317,2,2,2,2013,Forced air: Gas,Central,None,Condo,No,4,238
146 W 112th Pl,60628,39900,1500,27,3,2,1,1915,Gas,Central,Garage - Detached: Covered,Single Family,null,2,null
1224 W Van Buren St APT 504,60607,275000,1140,241,2,2,1,2004,Gas,Central,Garage - Attached: Covered,Condo,null,8,571
7302 S Lafayette Ave,60621,89900,1411,64,3,3,2,1900,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
2139 W Gladys Ave #2,60612,245000,1200,204,3,2,2,2020,Gas,Central,Covered,Townhouse,null,2,null
10059 S Indiana Ave,60628,74900,1152,65,3,2,1,1965,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
7000 S Paxton Ave N #2,60649,95000,2000,48,3,2,2,1919,Forced air: Gas,null,None,Condo,No,3,450
5025 W Washington Blvd,60644,265000,2191,121,5,3,3,1935,Forced air: Gas,null,Garage: None,Multiple Occupancy,No,null,null
7652 S Honore St,60620,255000,1800,142,6,2,2,1918,Forced air: Gas,Central,Garage: Garage - Detached: Covered,Single Family,null,null,null
1552 S Sawyer Ave,60623,85000,null,NaN,4,2,2,1914,Gas,null,Garage - Detached: Covered,Multiple Occupancy,null,null,null
6156 S Saint Lawrence Ave,60637,524000,2100,250,5,4,3,2020,Forced air: Heat pump: Electric,Central,Garage - Detached: Covered,Multiple Occupancy,null,null,null
728 W Jackson Blvd APT 403,60661,389000,1435,271,2,2,2,1926,Forced air: Heat pump: Other,Central,Garage - Attached: Covered,Condo,null,9,708
5850 W 55th St APT 2K,60638,130000,800,163,2,1,1,1969,Electric,null,Covered,Condo,null,3,169
5258 S Central Ave,60638,244900,3503,70,5,3,3,1967,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
6166 N Sheridan Rd APT 6H,60660,148800,1200,124,2,2,1,1970,Baseboard,null,Garage - Attached: Covered,Condo,null,9,982
6030 N Sheridan Rd APT 1108,60660,127800,800,160,2,1,1,1949,Baseboard,Central,Garage: Garage - Attached: Covered,Condo,null,9,380
5621 S Mayfield Ave,60638,219900,1643,134,4,2,2,1955,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
710 N Leamington Ave,60644,49000,1512,32,4,2,2,1895,null,null,Garage,Single Family,No,2,null
4850 S Lake Park Ave APT 808,60615,33000,1175,28,2,1,1,1970,Electric,Central,Garage - Detached: Covered,Condo,null,9,1293
2615 W 102nd Pl,60655,559000,2620,213,5,5,4,1947,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
958 N Wolcott Ave #1,60622,519000,2000,260,3,3,2,2003,Forced air: Gas,Central,Garage: Garage - Detached: Covered,Townhouse,null,3,277
